movie_name,message_id,channel_id
Mandala Murders,6,-1003181705395
Mandala Murders,7,-1003181705395
Mandala Murders,8,-1003181705395
Zebra 2024,9,-1003181705395
Zebra 2024,10,-1003181705395
Zebra 2024,11,-1003181705395
Zebra 2024,12,-1003181705395
Zebra 2024,13,-1003181705395
Zebra 2024,14,-1003181705395
Show Time 2025,15,-1003181705395
Show Time 2025,16,-1003181705395
Show Time 2025,17,-1003181705395
Show Time 2025,18,-1003181705395
Show Time 2025,19,-1003181705395
Show Time 2025,20,-1003181705395
Now You See Me (2013),252,-1003181705395
Now You See Me (2013),253,-1003181705395
Now You See Me (2013),254,-1003181705395
Now You See Me (2013),255,-1003181705395
Now You See Me (2013),256,-1003181705395
Now You See Me (2013),257,-1003181705395
Now You See Me (2013),258,-1003181705395
Now You See Me (2013),259,-1003181705395
Now You See Me (2013),260,-1003181705395
Now You See Me (2013),261,-1003181705395
