movie_name,message_id,channel_id
The Taj Story 2025,8,-1002831605258
The Taj Story 2025,9,-1002831605258
The Taj Story 2025,10,-1002831605258
The Taj Story 2025,11,-1002831605258
The Taj Story 2025,12,-1002831605258
Kis Kisko Pyaar Karoon 2025,20,-1002831605258
Kis Kisko Pyaar Karoon 2025,21,-1002831605258
Kis Kisko Pyaar Karoon 2025,22,-1002831605258
Kis Kisko Pyaar Karoon 2025,23,-1002831605258
Kis Kisko Pyaar Karoon 2025,24,-1002831605258
Akhanda 2 Thaandavam 2025,25,-1002831605258
Akhanda 2 Thaandavam 2025,26,-1002831605258
Akhanda 2 Thaandavam 2025,27,-1002831605258
Akhanda 2 Thaandavam 2025,28,-1002831605258
Akhanda 2 Thaandavam 2025,29,-1002831605258
Akhanda 2 Thaandavam 2025,30,-1002831605258
Akhanda 2 Thaandavam 2025,31,-1002831605258
Avatar Fire and Ash (2025),32,-1002831605258
Avatar Fire and Ash (2025),33,-1002831605258
Avatar Fire and Ash (2025),34,-1002831605258
Avatar Fire and Ash (2025),35,-1002831605258
The Raja Saab 2026,36,-1002831605258
The Raja Saab 2026,37,-1002831605258
The Raja Saab 2026,38,-1002831605258
The Raja Saab 2026,39,-1002831605258
Border 2 2026,41,-1002831605258
Border 2 2026,42,-1002831605258
Border 2 2026,43,-1002831605258
Border 2 2026,44,-1002831605258
Vadh 2 (2026),45,-1002831605258
Vadh 2 (2026),46,-1002831605258
Vadh 2 (2026),47,-1002831605258
Bhabiji Ghar Par Hain 2026,48,-1002831605258
Bhabiji Ghar Par Hain 2026,49,-1002831605258
Bhabiji Ghar Par Hain 2026,50,-1002831605258
Bhabiji Ghar Par Hain 2026,51,-1002831605258
Bhabiji Ghar Par Hain 2026,52,-1002831605258
O Romeo 2026,53,-1002831605258
O Romeo 2026,54,-1002831605258
O Romeo 2026,55,-1002831605258
O Romeo 2026,56,-1002831605258
O Romeo 2026,58,-1002831605258
O Romeo 2026,59,-1002831605258
O Romeo 2026,60,-1002831605258
O Romeo 2026,61,-1002831605258
Dhurandhar The Revenge 2026,68,-1002831605258
Dhurandhar The Revenge 2026,69,-1002831605258
Dhurandhar The Revenge 2026,70,-1002831605258
Dhurandhar The Revenge 2026,71,-1002831605258
Dhurandhar The Revenge 2026,72,-1002831605258
Dhurandhar The Revenge 2026,73,-1002831605258
